,Spacecraft,Start,Stop,Created
000202R_SK_LP0_V1P32.bsp,CASSINI,1997-10-15 09:26:08.000,1998-05-28 21:22:00.000,1998-08-02 09:05:27.000
000202R_SK_V1P32_V2P12.bsp,CASSINI,1998-05-28 21:22:00.000,1999-07-06 16:00:00.000,1999-10-08 16:18:02.000
000202R_SK_V2P12_EP15.bsp,CASSINI,1999-07-06 16:00:00.000,1999-09-02 12:00:00.000,1999-09-24 11:21:08.000
000203_SE_JUP156.bsp,CASSINI,1999-12-29 23:58:56.000,2002-01-03 23:58:56.000,2000-02-03 10:55:15.000
000331RB_SK_V1P32_V2P12.bsp,CASSINI,1998-05-28 21:21:59.000,1999-07-06 16:00:00.000,2005-02-23 10:02:18.000
000331R_SK_LP0_V1P32.bsp,CASSINI,1997-10-15 09:26:08.000,1998-05-28 21:22:00.000,1998-08-02 09:05:27.000
000331R_SK_V1P32_V2P12.bsp,CASSINI,1998-05-28 21:22:00.000,1999-07-06 16:00:00.000,1999-10-08 16:18:02.000
000331R_SK_V2P12_EP15.bsp,CASSINI,1999-07-06 16:00:00.000,1999-09-02 12:00:00.000,1999-09-24 11:21:08.000
000331_SK_JM229_SP0.bsp,CASSINI,2000-05-15 00:00:00.000,2004-07-01 12:00:00.000,2000-03-30 14:32:14.000
000609A_SK_JM207_JP0.bsp,CASSINI,2000-06-05 23:58:56.000,2000-12-30 10:58:56.000,2000-06-08 11:44:34.000
000713_SE_JUP171.bsp,CASSINI,2000-01-01 23:58:56.000,2002-01-02 23:58:56.000,2000-07-13 08:22:17.000
000728_SK_SOI_T45.bsp,CASSINI,2004-07-01 00:00:00.000,2008-08-01 00:00:00.000,2000-07-21 10:27:25.000
001102_SE_SAT105.bsp,CASSINI,2004-01-02 00:00:00.000,2013-01-08 00:00:00.000,2000-11-02 14:15:00.000
010222A_SK_JP054_JP458.bsp,CASSINI,2001-02-21 23:58:56.000,2002-04-02 11:58:56.000,2001-02-22 15:14:02.000
010419_SE_SAT077.bsp,CASSINI,1966-10-17 23:59:19.000,2013-01-07 23:58:56.000,2001-04-19 09:41:36.000
010420R_SCPSE_EP1_JP83.bsp,CASSINI,1999-08-19 01:58:56.000,2001-03-23 23:58:56.000,2001-04-20 11:46:29.000
